TransactionID,Date,Time,LaborHours,InventoryCost,FootTraffic,CustomerID,SalesAmount,LaborProductivity,InventoryEfficiency,FootTrafficEfficiency
135,1/6/2026,2:00:00 PM,5,74,73,135,556.0156729,111.2031346,7.513725309,7.616653053
136,1/6/2026,3:00:00 PM,2,117,34,136,266.0149344,133.0074672,2.273631918,7.823968659
137,1/6/2026,4:00:00 PM,7,443,33,137,463.176485,66.16806928,1.045545113,14.03565106
138,1/6/2026,5:00:00 PM,2,116,21,138,233.6409446,116.8204723,2.014146074,11.12575926
139,1/6/2026,6:00:00 PM,1,282,27,139,264.5971663,264.5971663,0.938287824,9.799895049
140,1/6/2026,7:00:00 PM,4,158,24,140,255.7788483,63.94471207,1.61885347,10.65745201
141,1/6/2026,8:00:00 PM,7,195,36,141,365.5703897,52.22434138,1.874719947,10.15473305
142,1/6/2026,9:00:00 PM,1,160,81,142,538.6174675,538.6174675,3.366359172,6.649598364
143,1/6/2026,10:00:00 PM,4,277,69,143,578.9540974,144.7385243,2.090086994,8.390639092
144,1/6/2026,11:00:00 PM,2,160,183,144,1170.768749,585.3843745,7.317304682,6.397643438
145,1/7/2026,12:00:00 AM,1,83,154,145,954.32977,954.32977,11.49794904,6.196946558
146,1/7/2026,1:00:00 AM,7,160,102,146,764.4504942,109.2072135,4.777815589,7.494612688
147,1/7/2026,2:00:00 AM,7,313,62,147,597.4899059,85.35570084,1.908913437,9.636933966
148,1/7/2026,3:00:00 AM,6,473,17,148,313.1201533,52.18669221,0.661987639,18.41883255
149,1/7/2026,4:00:00 AM,5,418,88,149,726.4041445,145.2808289,1.737808958,8.254592551
150,1/7/2026,5:00:00 AM,3,285,36,150,353.8583351,117.9527784,1.241608193,9.829398198
151,1/7/2026,6:00:00 AM,4,132,183,151,1232.406657,308.1016643,9.336414069,6.734462607
152,1/7/2026,7:00:00 AM,6,91,59,152,464.1210967,77.35351612,5.100231832,7.866459266
153,1/7/2026,8:00:00 AM,3,474,140,153,1005.665298,335.2217661,2.121656748,7.18332356
154,1/7/2026,9:00:00 AM,3,150,102,154,687.4691717,229.1563906,4.583127811,6.73989384
155,1/7/2026,10:00:00 AM,1,55,181,155,1149.091723,1149.091723,20.89257678,6.348573055
156,1/7/2026,11:00:00 AM,3,229,190,156,1314.699159,438.233053,5.741044362,6.919469258
157,1/7/2026,12:00:00 PM,5,331,33,157,332.8872656,66.57745312,1.005701709,10.0874929
158,1/7/2026,1:00:00 PM,7,369,69,158,596.8409515,85.26299308,1.617455153,8.649868863
159,1/7/2026,2:00:00 PM,6,275,131,159,953.4360964,158.9060161,3.467040351,7.27813814
160,1/7/2026,3:00:00 PM,3,492,140,160,1035.928683,345.309561,2.105546103,7.399490592
161,1/7/2026,4:00:00 PM,1,489,157,161,1127.309087,1127.309087,2.305335556,7.180312656
162,1/7/2026,5:00:00 PM,5,364,55,162,487.4660097,97.49320195,1.339192334,8.863018359
163,1/7/2026,6:00:00 PM,2,414,24,163,266.3067289,133.1533645,0.643252968,11.0961137
164,1/7/2026,7:00:00 PM,7,278,162,164,1164.542615,166.3632307,4.189002211,7.188534658
165,1/7/2026,8:00:00 PM,7,426,26,165,381.0479784,54.43542548,0.894478823,14.65569148
166,1/7/2026,9:00:00 PM,6,338,135,166,1029.20163,171.533605,3.044975236,7.623715777
167,1/7/2026,10:00:00 PM,7,486,93,167,823.4207941,117.631542,1.694281469,8.853987033
168,1/7/2026,11:00:00 PM,3,199,18,168,229.3613804,76.45379348,1.152569751,12.74229891
169,1/8/2026,12:00:00 AM,1,326,175,169,1159.66556,1159.66556,3.557256318,6.626660341
170,1/8/2026,1:00:00 AM,7,247,185,170,1359.767408,194.2524868,5.505131205,7.350094096
171,1/8/2026,2:00:00 AM,7,119,197,171,1297.567561,185.3667944,10.90392908,6.586637363
172,1/8/2026,3:00:00 AM,2,161,72,172,528.624295,264.3121475,3.283380714,7.342004097
173,1/8/2026,4:00:00 AM,2,53,126,173,763.8093004,381.9046502,14.41149623,6.061978575
174,1/8/2026,5:00:00 AM,4,399,139,174,981.4959697,245.3739924,2.459889648,7.061122084
175,1/8/2026,6:00:00 AM,5,380,97,175,752.779632,150.5559264,1.980999032,7.760614763
176,1/8/2026,7:00:00 AM,3,495,81,176,728.3797001,242.7932334,1.471474142,8.992341977
177,1/8/2026,8:00:00 AM,7,367,148,177,1111.016833,158.7166904,3.027293823,7.506870493
178,1/8/2026,9:00:00 AM,7,399,73,178,644.9856579,92.14080828,1.616505408,8.835419972
179,1/8/2026,10:00:00 AM,1,144,81,179,555.4330898,555.4330898,3.857174235,6.857198639
180,1/8/2026,11:00:00 AM,4,201,30,180,301.3544364,75.33860911,1.499275803,10.04514788
181,1/8/2026,12:00:00 PM,5,360,27,181,330.2407989,66.04815979,0.917335553,12.2311407
182,1/8/2026,1:00:00 PM,4,186,73,182,511.9011343,127.9752836,2.752156636,7.012344306
183,1/8/2026,2:00:00 PM,6,296,91,183,767.9562745,127.9927124,2.594446873,8.43907994
184,1/8/2026,3:00:00 PM,5,436,119,184,926.0945439,185.2189088,2.124070055,7.782307091
185,1/8/2026,4:00:00 PM,7,292,104,185,881.8121512,125.9731645,3.019904627,8.478962992
186,1/8/2026,5:00:00 PM,7,80,175,186,1207.209649,172.4585212,15.09012061,6.898340849
187,1/8/2026,6:00:00 PM,5,89,41,187,364.2395917,72.84791835,4.092579683,8.883892482
188,1/8/2026,7:00:00 PM,7,278,20,188,295.3438701,42.19198145,1.062388022,14.76719351
189,1/8/2026,8:00:00 PM,3,85,54,189,361.6396331,120.5465444,4.254583919,6.697030242
190,1/8/2026,9:00:00 PM,5,457,42,190,457.5680705,91.51361409,1.001243043,10.89447787
191,1/8/2026,10:00:00 PM,4,272,111,191,773.8712222,193.4678055,2.845114787,6.971812812
192,1/8/2026,11:00:00 PM,5,55,178,192,1179.005711,235.8011423,21.43646748,6.623627592
193,1/9/2026,12:00:00 AM,7,371,145,193,1135.279575,162.1827964,3.060052763,7.82951431
194,1/9/2026,1:00:00 AM,3,269,20,194,237.872632,79.29087734,0.884284877,11.8936316
195,1/9/2026,2:00:00 AM,3,124,188,195,1238.534729,412.8449097,9.9881833,6.587950687
196,1/9/2026,3:00:00 AM,6,53,97,196,667.2231279,111.2038546,12.58911562,6.878588947
197,1/9/2026,4:00:00 AM,4,384,50,197,466.1259949,116.5314987,1.213869778,9.322519897
198,1/9/2026,5:00:00 AM,2,183,154,198,984.4510805,492.2255402,5.379514101,6.392539484
199,1/9/2026,6:00:00 AM,2,167,85,199,526.1060089,263.0530045,3.150335383,6.189482458
200,1/9/2026,7:00:00 AM,5,418,130,200,979.3039995,195.8607999,2.342832535,7.533107688
201,1/9/2026,8:00:00 AM,6,143,55,201,466.7535521,77.79225869,3.264010854,8.486428221
202,1/9/2026,9:00:00 AM,1,484,169,202,1206.17583,1206.17583,2.492098822,7.137135089
203,1/9/2026,10:00:00 AM,5,111,89,203,666.1631476,133.2326295,6.001469798,7.484979186
204,1/9/2026,11:00:00 AM,6,490,63,204,639.268587,106.5447645,1.304629769,10.14712043
205,1/9/2026,12:00:00 PM,4,243,95,205,673.6789133,168.4197283,2.772341207,7.091356982
206,1/9/2026,1:00:00 PM,4,384,101,206,794.9849192,198.7462298,2.070273227,7.871137814
207,1/9/2026,2:00:00 PM,4,252,157,207,1125.077819,281.2694547,4.46459452,7.166100758
208,1/9/2026,3:00:00 PM,4,441,170,208,1223.696036,305.9240089,2.774820942,7.198211974
209,1/9/2026,4:00:00 PM,4,75,177,209,1199.357808,299.8394521,15.99143745,6.776032816
210,1/9/2026,5:00:00 PM,6,484,169,210,1309.768983,218.2948306,2.706134263,7.750112327
211,1/9/2026,6:00:00 PM,6,222,106,211,784.5459519,130.7576586,3.533990774,7.401376905
212,1/9/2026,7:00:00 PM,3,349,11,212,194.7918076,64.93060255,0.558142715,17.70834615
213,1/9/2026,8:00:00 PM,2,182,42,213,313.756135,156.8780675,1.723934808,7.470384168
214,1/9/2026,9:00:00 PM,7,375,167,214,1174.015925,167.7165608,3.130709134,7.030035481
215,1/9/2026,10:00:00 PM,4,459,170,215,1202.147913,300.5369783,2.619058634,7.071458312
216,1/9/2026,11:00:00 PM,1,167,86,216,617.3299635,617.3299635,3.696586608,7.178255389
217,1/10/2026,12:00:00 AM,7,373,125,217,900.7788727,128.6826961,2.414956763,7.206230982
218,1/10/2026,1:00:00 AM,6,324,163,218,1134.076398,189.012733,3.500235796,6.957523914
219,1/10/2026,2:00:00 AM,1,261,159,219,1043.486057,1043.486057,3.998030869,6.562805388
220,1/10/2026,3:00:00 AM,1,274,112,220,742.884444,742.884444,2.711257095,6.632896821
221,1/10/2026,4:00:00 AM,1,69,175,221,1069.881422,1069.881422,15.50552785,6.113608124
222,1/10/2026,5:00:00 AM,3,162,112,222,750.2301098,250.0767033,4.63105006,6.698483123
223,1/10/2026,6:00:00 AM,6,189,99,223,732.9737934,122.1622989,3.878168219,7.403775691
224,1/10/2026,7:00:00 AM,1,96,183,224,1119.916359,1119.916359,11.66579541,6.119761525
225,1/10/2026,8:00:00 AM,4,50,131,225,836.6636036,209.1659009,16.73327207,6.386745066
226,1/10/2026,9:00:00 AM,5,139,152,226,1056.729292,211.3458585,7.60236901,6.952166397
227,1/10/2026,10:00:00 AM,1,191,115,227,793.7896253,793.7896253,4.155966625,6.902518481
228,1/10/2026,11:00:00 AM,3,369,128,228,882.2836996,294.0945665,2.391012736,6.892841403
229,1/10/2026,12:00:00 PM,7,87,181,229,1134.312078,162.0445826,13.03806986,6.266917558
230,1/10/2026,1:00:00 PM,6,342,58,230,572.5012455,95.41687425,1.67398025,9.870711129
231,1/10/2026,2:00:00 PM,3,431,113,231,815.4359874,271.8119958,1.891962848,7.216247676
232,1/10/2026,3:00:00 PM,1,188,70,232,497.7823452,497.7823452,2.647778432,7.111176359
233,1/10/2026,4:00:00 PM,6,405,132,233,956.5298438,159.4216406,2.361802083,7.246438211
234,1/10/2026,5:00:00 PM,5,382,143,234,1086.53265,217.3065299,2.844326308,7.598130416
235,1/10/2026,6:00:00 PM,1,308,18,235,291.7100369,291.7100369,0.947110509,16.20611316
236,1/10/2026,7:00:00 PM,3,210,15,236,203.4842073,67.82806909,0.968972416,13.56561382
237,1/10/2026,8:00:00 PM,2,439,82,237,650.8769205,325.4384603,1.482635354,7.937523421
238,1/10/2026,9:00:00 PM,4,227,112,238,790.4358127,197.6089532,3.482096091,7.057462614
239,1/10/2026,10:00:00 PM,7,59,169,239,1160.153979,165.7362828,19.66362677,6.864816446
240,1/10/2026,11:00:00 PM,3,310,50,240,455.0306025,151.6768675,1.467840653,9.100612051
241,1/11/2026,12:00:00 AM,6,456,123,241,994.9049536,165.8174923,2.181809109,8.088658159
242,1/11/2026,1:00:00 AM,1,187,17,242,154.2625043,154.2625043,0.824933178,9.07426496
243,1/11/2026,2:00:00 AM,4,221,81,243,622.5035312,155.6258828,2.81675806,7.68522878
244,1/11/2026,3:00:00 AM,1,435,187,244,1251.225958,1251.225958,2.876381513,6.691047904
245,1/11/2026,4:00:00 AM,6,62,101,245,682.8685306,113.8114218,11.01400856,6.76107456
246,1/11/2026,5:00:00 AM,1,217,71,246,504.8695374,504.8695374,2.32658773,7.110838555
247,1/11/2026,6:00:00 AM,2,179,93,247,614.0246181,307.012309,3.430305129,6.602415248
248,1/11/2026,7:00:00 AM,4,133,71,248,561.1118099,140.2779525,4.218885789,7.902983238
249,1/11/2026,8:00:00 AM,4,370,120,249,865.1423887,216.2855972,2.338222672,7.209519905
250,1/11/2026,9:00:00 AM,6,368,136,250,1027.306378,171.2177297,2.791593419,7.553723369
251,1/11/2026,10:00:00 AM,7,150,16,251,227.897331,32.55676158,1.51931554,14.24358319
252,1/11/2026,11:00:00 AM,2,378,93,252,709.7118825,354.8559413,1.877544663,7.631310565
253,1/11/2026,12:00:00 PM,3,322,141,253,971.8801028,323.9600343,3.018261189,6.892766686
254,1/11/2026,1:00:00 PM,1,314,143,254,929.4836618,929.4836618,2.96013905,6.499885747
255,1/11/2026,2:00:00 PM,5,448,67,255,625.9131822,125.1826364,1.397127639,9.341987794
256,1/11/2026,3:00:00 PM,1,457,31,256,331.0375313,331.0375313,0.724370966,10.67863004
257,1/11/2026,4:00:00 PM,1,87,163,257,1027.679548,1027.679548,11.8124086,6.304782504
258,1/11/2026,5:00:00 PM,3,468,136,258,988.5347119,329.5115706,2.112253658,7.268637588
259,1/11/2026,6:00:00 PM,1,143,12,259,90.06190459,90.06190459,0.629803529,7.505158716
260,1/11/2026,7:00:00 PM,2,144,136,260,921.6953579,460.847679,6.400662208,6.777171749
261,1/11/2026,8:00:00 PM,2,354,50,261,458.3027327,229.1513663,1.294640488,9.166054653
262,1/11/2026,9:00:00 PM,4,118,197,262,1260.391171,315.0977927,10.68128111,6.397924725
263,1/11/2026,10:00:00 PM,6,367,115,263,892.1933764,148.6988961,2.431044622,7.758203273
264,1/11/2026,11:00:00 PM,7,493,23,264,422.1605845,60.30865493,0.856309502,18.35480802
265,1/12/2026,12:00:00 AM,5,285,21,265,272.7888499,54.55776998,0.957153859,12.98994523
266,1/12/2026,1:00:00 AM,1,483,96,266,726.8434648,726.8434648,1.504851894,7.571286092
267,1/12/2026,2:00:00 AM,1,383,21,267,263.208975,263.208975,0.6872297,12.53376071
268,1/12/2026,3:00:00 AM,3,422,150,268,1057.827268,352.6090894,2.506699687,7.052181787
269,1/12/2026,4:00:00 AM,6,425,34,269,447.2127599,74.53545998,1.052265317,13.15331647
270,1/12/2026,5:00:00 AM,2,186,54,270,404.7329766,202.3664883,2.175983745,7.495055122
271,1/12/2026,6:00:00 AM,5,467,131,271,977.5789238,195.5157848,2.093316753,7.462434532
272,1/12/2026,7:00:00 AM,4,125,156,272,1051.759165,262.9397912,8.414073319,6.742045929
273,1/12/2026,8:00:00 AM,2,84,64,273,404.9360805,202.4680403,4.820667625,6.327126258
274,1/12/2026,9:00:00 AM,6,50,109,274,819.4463568,136.5743928,16.38892714,7.517856485
275,1/12/2026,10:00:00 AM,7,345,182,275,1347.974891,192.5678416,3.907173597,7.406455445
276,1/12/2026,11:00:00 AM,4,369,145,276,1056.104864,264.0262161,2.862072803,7.283481823
277,1/12/2026,12:00:00 PM,7,455,128,277,1022.379931,146.0542758,2.246988859,7.987343208
